PROJECT;STREET;LOCATION;COMP_DATE;URL_LINK;Geom;geo_point_2d
Argyle St from E 62nd Av to E 63rd Av;;Argyle St from E 62nd Av to E 63rd Av;2026-11-04;http://vanmapp1.vancouver.ca/roadahead/events/details/0ae07980-7734-4828-b227-c631e3ff9724;"{""coordinates"": [[-123.07205866967998, 49.21373240354956], [-123.0720714454169, 49.21286767897749]], ""type"": ""LineString""}";49.21330004126352, -123.07206505754843
Both Sides of the Street of 1100 Block of Bidwell St. From Davie St to Pendrell;;Both Sides of the Street of 1100 Block of Bidwell St. From Davie St to Pendrell;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/25ffab69-b5d9-47f6-92a5-61e1dab560a0;"{""coordinates"": [[-123.14024494434177, 49.28624982648992], [-123.13918852556765, 49.286945934199565], [-123.13889747141559, 49.28675608761705]], ""type"": ""LineString""}";49.28665242577293, -123.13957155594771
;;;2028-01-02;http://vanmapp1.vancouver.ca/roadahead/events/details/3d8e433d-215c-4c98-acdf-1f504e12625f;"{""coordinates"": [[-123.08745717210368, 49.27646261947456], [-123.08731300897043, 49.276458856839696], [-123.08731877585898, 49.27641370673874], [-123.08746293826577, 49.27641370673874], [-123.08745717210368, 49.27646261947456]], ""type"": ""LineString""}";49.27643723467438, -123.08738867600971
Both Sides of the Street of 1000 Block of E 62nd Av. From West PL 1045 to East P;;Both Sides of the Street of 1000 Block of E 62nd Av. From West PL 1045 to East P;2025-11-20;http://vanmapp1.vancouver.ca/roadahead/events/details/52a3ca4e-cd02-4125-a886-4850c3c5aabf;"{""coordinates"": [[-123.08455601404813, 49.21381093957717], [-123.08415716206201, 49.21381093957717]], ""type"": ""LineString""}";49.213810939577165, -123.08435658805507
;;;2027-01-16;http://vanmapp1.vancouver.ca/roadahead/events/details/569cde2e-876f-4ecb-b13b-86beeeeadbd9;"{""coordinates"": [[-123.0249236046173, 49.29248448897795], [-123.0249287401899, 49.292528032815255], [-123.02412764229045, 49.29268211065113], [-123.02412764229045, 49.29263856694996], [-123.0249236046173, 49.29248448897795]], ""type"": ""LineString""}";49.29258335033243, -123.02452698146213
Various local streets, W 12th and W 13th (between east of Alma St and Balaclava;;Various local streets, W 12th and W 13th (between east of Alma St and Balaclava;2027-08-01;http://vanmapp1.vancouver.ca/roadahead/events/details/68b6a6a6-4040-4bd4-9538-e684cb0279ec;"{""coordinates"": [[[-123.1779747593158, 49.260621467576584], [-123.1792388627956, 49.26064149775178]], [[-123.17922248172604, 49.261093568670674], [-123.1792388627956, 49.26064149775178]], [[-123.17920614006941, 49.26154521671549], [-123.17922248172604, 49.261093568670674]], [[-123.17604134034049, 49.26059158809352], [-123.1779747593158, 49.260621467576584]], [[-123.17795810560438, 49.26107354772839], [-123.1779747593158, 49.260621467576584]], [[-123.17794158713141, 49.26152509691633], [-123.17795810560438, 49.26107354772839]], [[-123.1779747593158, 49.260621467576584], [-123.1779905748598, 49.26016952360615]], [[-123.17626087862311, 49.26150803351891], [-123.17574385863014, 49.261493363466]], [[-123.17601360819172, 49.261705889777176], [-123.17603595377528, 49.26130486008219]], [[-123.17412244066087, 49.2601095458792], [-123.17605779167296, 49.26013955347133]], [[-123.17455225666042, 49.2605684988371], [-123.17604134034049, 49.26059158809352]], [[-123.17410609535392, 49.26056158006156], [-123.17455225666042, 49.2605684988371]], [[-123.17605779167296, 49.26013955347133], [-123.17604134034049, 49.26059158809352]], [[-123.17997953579035, 49.26065060089243], [-123.1807120206562, 49.260664263670975]], [[-123.18069596976927, 49.26111650519499], [-123.1807120206562, 49.260664263670975]], [[-123.18068017832381, 49.26156835948126], [-123.18069596976927, 49.26111650519499]], [[-123.1792388627956, 49.26064149775178], [-123.17997953579035, 49.26065060089243]], [[-123.1807120206562, 49.260664263670975], [-123.18198101998435, 49.2606845170485]], [[-123.1807120206562, 49.260664263670975], [-123.18072838864501, 49.26021237242642]], [[-123.1792388627956, 49.26064149775178], [-123.1792465750446, 49.26055096693983], [-123.17925928514082, 49.260189681386095]], [[-123.18388311522561, 49.26161829407502], [-123.1859399699366, 49.26165086615623]], [[-123.18354266760774, 49.26070848373351], [-123.18391543511454, 49.26071420560129]], [[-123.18388311522561, 49.26161829407502], [-123.18389960533196, 49.261166294307685]], [[-123.18194881397396, 49.26158806507942], [-123.18388311522561, 49.26161829407502]], [[-123.18198101998435, 49.2606845170485], [-123.18354266760774, 49.26070848373351]], [[-123.18194881397396, 49.26158806507942], [-123.1819651568113, 49.261136065824815]]], ""type"": ""MultiLineString""}";49.260873385484295, -123.17958724765407
North Side of 1400-1500 Block of Alberni St from Cardero St to 15m East of Nicol;;North Side of 1400-1500 Block of Alberni St from Cardero St to 15m East of Nicol;2025-11-21;http://vanmapp1.vancouver.ca/roadahead/events/details/71891bcd-0881-469d-9c53-7ecb2eac5745;"{""coordinates"": [[[-123.12942470597284, 49.289802592739676], [-123.13004006187779, 49.28939789054209]], [[-123.13122781742351, 49.29015862534149], [-123.13005810609384, 49.289395992867384]], [[-123.13004955934764, 49.28939861356619], [-123.12991539743784, 49.28931230779784]]], ""type"": ""MultiLineString""}";49.28969106444507, -123.13030444607118
"E 62nd Av - Knight St to Argyle St                  
E 61st Av - Knight St to A";;"E 62nd Av - Knight St to Argyle St                  
E 61st Av - Knight St to A";2026-01-21;http://vanmapp1.vancouver.ca/roadahead/events/details/e67c3a11-0ee9-40ef-a83d-8539840a6af1;"{""coordinates"": [[[-123.07711268128811, 49.21378156602759], [-123.07207605346363, 49.21375532514034]], [[-123.07711937882875, 49.21464750749172], [-123.07204926330107, 49.21460377350482]], [[-123.07707249543107, 49.21547407382937], [-123.07204926330107, 49.215439087107825]], [[-123.07707249543107, 49.21638809147794], [-123.07442692610047, 49.21640995758682], [-123.074018370296, 49.21631811930408], [-123.0720425654538, 49.21629625315461]], [[-123.07403127363992, 49.21631535165608], [-123.07406502790224, 49.21375315493651]]], ""type"": ""MultiLineString""}";49.21504995764013, -123.07451483767278
W 42nd Av from Cypress St to Maple St;;W 42nd Av from Cypress St to Maple St;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/f40521b6-8109-42da-aff6-09c92fdad21f;"{""coordinates"": [[-123.14926487257384, 49.23350552243147], [-123.15208600945519, 49.23354867212146]], ""type"": ""LineString""}";49.233527097276465, -123.15067544101451
Prince Edward St and E 16th Ave;;Prince Edward St and E 16th Ave;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/02b9bf54-43f4-4c56-8d30-827e1be2483f;"{""coordinates"": [[[-123.09695684857564, 49.25654543604426], [-123.09607549610341, 49.256534320388084]], [[-123.09650978572739, 49.25660101428758], [-123.09651404346882, 49.25648152098705]]], ""type"": ""MultiLineString""}";49.25654004418347, -123.09651566374944
